CustomerID,Age,State,Income,Purchases,LastPurchaseDate,Review,Churn,PositiveReview
CUST003,60,NY,40000.0,10,,No Review,No,0
CUST004,45,CA,50000.0,10,,Great product!,Yes,1
CUST005,45,CA,40000.0,2,2021-05-20,Loved it!!!,Yes,1
CUST006,45,NY,50000.0,3,,terrible service...,Yes,0
CUST007,45,NY,50000.0,2,,Ok,Yes,0
CUST008,60,NY,50000.0,10,2021-07-15,No Review,No,0
CUST009,45,CA,50000.0,2,,Loved it!!!,Yes,1
CUST010,25,NY,70000.0,10,2021-05-20,terrible service...,No,0
CUST011,50,CA,40000.0,1,,No Review,No,0
CUST013,45,CA,50000.0,10,,terrible service...,Yes,0
CUST016,25,CA,50000.0,1,,No Review,No,0
CUST017,60,CA,50000.0,2,,would buy again,Yes,1
CUST018,30,CA,50000.0,3,2021-05-20,Horrible!!,Yes,0
CUST019,60,NY,50000.0,2,,Ok,Yes,0
CUST020,25,NY,60000.0,10,,Loved it!!!,Yes,1
CUST021,45,CA,50000.0,3,2021-07-15,Ok,Yes,0
CUST025,40,CA,50000.0,3,2021-05-20,Ok,No,0
CUST027,45,CA,50000.0,10,2021-07-15,Loved it!!!,No,1
CUST030,50,NY,50000.0,2,,Great product!,No,1
CUST031,45,NY,50000.0,3,2021-07-15,No Review,Yes,0
CUST032,45,CA,50000.0,2,,No Review,Yes,0
CUST033,25,CA,50000.0,0,2021-07-15,Great product!,Yes,1
CUST035,60,CA,50000.0,3,2021-07-15,Great product!,Yes,1
CUST036,45,CA,60000.0,1,2021-07-15,No Review,Yes,0
CUST037,45,CA,50000.0,10,,Ok,No,0
CUST038,40,CA,60000.0,0,,Horrible!!,No,0
CUST039,25,CA,60000.0,3,2021-05-20,terrible service...,Yes,0
CUST040,30,CA,70000.0,1,,terrible service...,No,0
CUST041,45,NY,50000.0,1,,Horrible!!,Yes,0
CUST042,45,CA,50000.0,0,,Loved it!!!,No,1
CUST043,35,CA,70000.0,2,,would buy again,Yes,1
CUST045,45,NY,50000.0,0,2021-07-15,Horrible!!,No,0
CUST046,50,NY,50000.0,3,,Horrible!!,Yes,0
CUST047,50,CA,40000.0,1,2021-05-20,Loved it!!!,Yes,1
CUST048,45,NY,60000.0,10,2021-07-15,Loved it!!!,Yes,1
CUST049,45,NY,50000.0,0,2021-07-15,would buy again,No,1
CUST050,50,CA,40000.0,10,2021-05-20,Horrible!!,No,0
CUST052,35,NY,50000.0,1,,Ok,No,0
CUST053,60,CA,40000.0,3,2021-07-15,Loved it!!!,Yes,1
CUST055,45,NY,70000.0,2,2021-05-20,Great product!,No,1
CUST056,45,CA,50000.0,1,2021-05-20,Horrible!!,Yes,0
CUST057,50,CA,40000.0,10,,Horrible!!,No,0
CUST058,45,NY,50000.0,3,2021-07-15,No Review,No,0
CUST059,25,CA,50000.0,2,2021-05-20,No Review,No,0
CUST060,50,NY,50000.0,0,2021-07-15,Great product!,No,1
CUST061,50,CA,60000.0,2,,Horrible!!,No,0
CUST062,30,CA,50000.0,1,2021-05-20,would buy again,No,1
CUST063,30,CA,50000.0,2,,would buy again,Yes,1
CUST067,25,CA,50000.0,2,,No Review,Yes,0
CUST068,45,CA,50000.0,2,2021-07-15,No Review,No,0
CUST070,60,CA,50000.0,2,,would buy again,Yes,1
CUST071,45,CA,60000.0,0,,No Review,No,0
CUST073,35,NY,40000.0,2,2021-07-15,No Review,Yes,0
CUST074,45,CA,50000.0,2,,Loved it!!!,No,1
CUST075,45,CA,50000.0,0,,would buy again,Yes,1
CUST076,45,CA,60000.0,3,2021-05-20,No Review,Yes,0
CUST077,45,CA,50000.0,0,2021-05-20,terrible service...,No,0
CUST078,35,CA,60000.0,2,,Ok,No,0
CUST079,35,CA,50000.0,0,2021-07-15,Great product!,Yes,1
CUST080,45,CA,50000.0,0,,would buy again,No,1
CUST081,45,NY,70000.0,2,2021-05-20,terrible service...,Yes,0
CUST083,50,CA,50000.0,3,,would buy again,Yes,1
CUST085,50,CA,70000.0,3,2021-07-15,would buy again,No,1
CUST087,50,CA,40000.0,1,2021-05-20,terrible service...,No,0
CUST088,60,CA,50000.0,2,,Great product!,Yes,1
CUST089,50,CA,50000.0,2,2021-05-20,No Review,No,0
CUST090,45,NY,70000.0,10,2021-05-20,No Review,Yes,0
CUST091,25,NY,50000.0,0,,Ok,No,0
CUST092,45,NY,50000.0,2,2021-07-15,Ok,No,0
CUST093,25,NY,50000.0,1,,Horrible!!,No,0
CUST094,60,CA,40000.0,0,,Ok,No,0
CUST095,25,NY,40000.0,2,,Loved it!!!,Yes,1
CUST096,30,CA,70000.0,10,,Ok,No,0
CUST098,25,CA,50000.0,1,,Great product!,No,1
CUST099,25,CA,50000.0,3,,Great product!,Yes,1
CUST100,45,CA,70000.0,2,,Loved it!!!,Yes,1
